,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,ngm_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,ngm_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.4572649173904645
2,1,one-to-one,dn_0,ngm_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,ngm_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
4,1,one-to-one,dn_0,ngm_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
5,3,one-to-one,dn_2,ngm_2,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
6,3,one-to-one,dn_2,ngm_2,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
7,3,one-to-one,dn_2,ngm_2,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
8,3,one-to-one,dn_2,ngm_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3223860747635878
9,3,one-to-one,dn_2,ngm_2,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
10,4,one-to-one,dn_3,ngm_3,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
11,4,one-to-one,dn_3,ngm_3,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
12,4,one-to-one,dn_3,ngm_3,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
13,5,one-to-one,dn_4,ngm_4,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
14,5,one-to-one,dn_4,ngm_4,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
15,6,one-to-one,dn_5,ngm_5,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3021683543920517
16,6,one-to-one,dn_5,ngm_5,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
17,7,one-to-one,dn_6,ngm_6,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
18,7,one-to-one,dn_6,ngm_6,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
19,8,many-to-one,dn_7 dn_8,ngm_7,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
20,8,many-to-one,dn_7 dn_8,ngm_7,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.6549440238325956
21,8,many-to-one,dn_7 dn_8,ngm_7,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
22,9,one-to-one,dn_9,ngm_8,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
23,10,one-to-one,dn_10,ngm_9,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
24,10,one-to-one,dn_10,ngm_9,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
25,11,one-to-one,dn_11,ngm_10,Ippolita,Ippolita,PROPN,PROPN,nsubj,nmod,explicit_ref_pos,
26,11,one-to-one,dn_11,ngm_10,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
